Date,Price,Open,High,Low,Vol.,Change %
05/04/2019,1.3033,1.3076,1.3126,1.2989,241.37K,-0.30%
04/04/2019,1.3072,1.3138,1.317,1.3055,236.44K,-0.48%
03/04/2019,1.3135,1.311,1.3177,1.3074,264.57K,0.27%
02/04/2019,1.31,1.3088,1.3128,1.3003,240.04K,0.14%
01/04/2019,1.3082,1.2976,1.3132,1.2951,195.37K,0.88%
29/03/2019,1.2968,1.2988,1.3078,1.2921,253.67K,-0.14%
28/03/2019,1.2986,1.3121,1.3149,1.298,278.18K,-1.01%
27/03/2019,1.3119,1.3135,1.3207,1.308,244.50K,-0.10%
26/03/2019,1.3132,1.3105,1.3182,1.3066,228.13K,0.24%
25/03/2019,1.31,1.3124,1.316,1.3059,183.08K,-0.18%
22/03/2019,1.3123,1.3004,1.3146,1.2994,251.31K,0.95%
21/03/2019,1.3,1.3099,1.3119,1.2916,247.93K,-0.74%
20/03/2019,1.3097,1.3259,1.3274,1.3073,257.90K,-1.18%
19/03/2019,1.3254,1.3276,1.3307,1.3238,221.54K,-0.14%
18/03/2019,1.3272,1.3313,1.3339,1.3204,171.75K,-0.32%
15/03/2019,1.3315,1.3293,1.3345,1.3233,246.51K,0.16%
14/03/2019,1.3294,1.3395,1.3395,1.3258,273.03K,-0.74%
13/03/2019,1.3393,1.3178,1.3423,1.3159,238.16K,1.64%
12/03/2019,1.3177,1.3289,1.3426,1.3115,262.96K,-0.87%
11/03/2019,1.3292,1.3123,1.3327,1.3048,215.50K,1.30%
08/03/2019,1.3122,1.3233,1.3248,1.3085,215.30K,-0.84%
07/03/2019,1.3233,1.3235,1.3284,1.3174,218.76K,-0.02%
06/03/2019,1.3236,1.3234,1.3247,1.3183,242.12K,0.02%
05/03/2019,1.3234,1.3176,1.3245,1.3115,236.33K,0.44%
04/03/2019,1.3176,1.3224,1.3275,1.3158,204.08K,-0.11%
01/03/2019,1.3191,1.3239,1.3267,1.3168,258.62K,-0.37%
28/02/2019,1.324,1.3332,1.3344,1.3196,249.96K,-0.67%
27/02/2019,1.3329,1.3247,1.3333,1.3231,250.11K,0.60%
26/02/2019,1.3249,1.3098,1.3283,1.3098,217.79K,1.08%
25/02/2019,1.3108,1.3078,1.3116,1.3041,195.11K,0.37%
22/02/2019,1.306,1.3057,1.3074,1.2995,210.42K,-0.03%
21/02/2019,1.3064,1.3064,1.3106,1.3037,256.30K,0.02%
20/02/2019,1.3062,1.3078,1.3092,1.3024,232.27K,-0.13%
19/02/2019,1.3079,1.2977,1.3091,1.2957,200.98K,0.76%
18/02/2019,1.298,1.296,1.3004,1.2948,170.19K,0.16%
15/02/2019,1.2959,1.2865,1.297,1.2855,213.61K,0.66%
14/02/2019,1.2874,1.2965,1.2986,1.2854,206.15K,-0.70%
13/02/2019,1.2965,1.2975,1.3017,1.2946,209.25K,-0.08%
12/02/2019,1.2975,1.2899,1.3007,1.2899,219.05K,0.57%
11/02/2019,1.2901,1.2953,1.3066,1.2901,176.41K,-0.39%
08/02/2019,1.2951,1.2981,1.3007,1.2927,206.18K,-0.25%
07/02/2019,1.2984,1.2967,1.3009,1.2889,224.90K,0.13%
06/02/2019,1.2967,1.2948,1.2988,1.2935,240.98K,0.19%
05/02/2019,1.2942,1.3008,1.3055,1.2931,225.66K,-0.52%
04/02/2019,1.301,1.3029,1.3083,1.2994,179.85K,-0.10%
01/02/2019,1.3023,1.3035,1.3057,1.2949,225.05K,-0.10%
31/01/2019,1.3036,1.3042,1.3074,1.3011,242.62K,-0.05%
30/01/2019,1.3042,1.2996,1.3078,1.2983,262.25K,0.34%
29/01/2019,1.2998,1.306,1.3123,1.2993,252.60K,-0.44%
28/01/2019,1.3055,1.3103,1.3123,1.3033,201.82K,-0.44%
25/01/2019,1.3113,1.302,1.3121,1.3008,257.60K,0.71%
24/01/2019,1.302,1.3003,1.3027,1.2949,229.66K,0.15%
23/01/2019,1.3,1.2921,1.3036,1.2905,244.64K,0.62%
22/01/2019,1.292,1.2853,1.2934,1.2824,241.25K,0.49%
21/01/2019,1.2857,1.283,1.2885,1.278,203.80K,0.30%
18/01/2019,1.2819,1.291,1.2921,1.28,227.69K,-0.73%
17/01/2019,1.2913,1.2759,1.2924,1.2729,245.58K,1.22%
16/01/2019,1.2757,1.2706,1.2772,1.2671,9.94K,0.42%
15/01/2019,1.2704,1.2616,1.2732,1.2528,,0.67%
14/01/2019,1.2619,1.2646,1.2684,1.2593,,-0.22%
11/01/2019,1.2647,1.2558,1.2654,1.248,,0.77%
10/01/2019,1.255,1.2463,1.2562,1.2418,,0.71%
09/01/2019,1.2462,1.2479,1.2527,1.2437,,-0.16%
08/01/2019,1.2482,1.2521,1.2553,1.2465,15.29K,-0.31%
07/01/2019,1.2521,1.2558,1.257,1.2504,12.25K,-0.28%
04/01/2019,1.2556,1.2464,1.2576,1.2451,0.01K,0.75%
03/01/2019,1.2463,1.2486,1.2514,1.231,13.37K,-0.18%
02/01/2019,1.2486,1.2519,1.2545,1.2437,11.62K,-0.25%
01/01/2019,1.2517,1.2526,1.253,1.2493,7.15K,-0.06%
31/12/2018,1.2525,1.2483,1.2637,1.2479,,0.12%
28/12/2018,1.251,1.2491,1.2523,1.2412,,0.17%
27/12/2018,1.2489,1.2579,1.2602,1.2448,,-0.72%
