Date,Price,Open,High,Low,Vol.,Change %
26/12/2018,1.1128,1.1166,1.1184,1.1099,16.24K,-0.33%
25/12/2018,1.1165,1.1162,1.1245,1.1087,19.00K,0.03%
24/12/2018,1.1162,1.1127,1.1171,1.1076,6.74K,0.50%
21/12/2018,1.1107,1.1057,1.1133,1.1045,,0.44%
20/12/2018,1.1058,1.1083,1.1112,1.1044,21.49K,-0.23%
19/12/2018,1.1083,1.1133,1.1141,1.1059,,-0.42%
18/12/2018,1.113,1.1124,1.1159,1.1097,,0.03%
17/12/2018,1.1127,1.1137,1.1157,1.1102,,0.00%
14/12/2018,1.1127,1.1139,1.1162,1.1098,,-0.11%
13/12/2018,1.1139,1.1113,1.1174,1.1091,,0.27%
12/12/2018,1.1109,1.1032,1.1151,1.1024,,0.67%
11/12/2018,1.1035,1.1061,1.1105,1.1023,,-0.22%
10/12/2018,1.1059,1.1189,1.1211,1.1003,,-1.14%
07/12/2018,1.1187,1.1237,1.1263,1.115,,-0.46%
06/12/2018,1.1239,1.1225,1.1255,1.1199,,0.13%
05/12/2018,1.1224,1.1215,1.1272,1.1194,,0.11%
04/12/2018,1.1212,1.1207,1.1253,1.1178,,0.05%
03/12/2018,1.1206,1.1282,1.1288,1.1202,,-0.59%
30/11/2018,1.1273,1.123,1.129,1.1204,,0.38%
29/11/2018,1.123,1.1286,1.1291,1.1209,,-0.47%
28/11/2018,1.1283,1.1289,1.135,1.1263,,-0.11%
27/11/2018,1.1295,1.1329,1.1334,1.1247,,-0.31%
26/11/2018,1.133,1.1333,1.134,1.1273,,0.27%
23/11/2018,1.1299,1.1289,1.1321,1.126,,0.10%
22/11/2018,1.1288,1.1222,1.1312,1.1203,,0.58%
21/11/2018,1.1223,1.1246,1.127,1.1204,,-0.20%
20/11/2018,1.1246,1.122,1.127,1.1206,,0.23%
19/11/2018,1.122,1.1234,1.128,1.1195,,-0.20%
16/11/2018,1.1242,1.1278,1.1336,1.1226,,-0.39%
15/11/2018,1.1286,1.1492,1.1502,1.1249,,-1.78%
14/11/2018,1.1491,1.149,1.1541,1.1418,,0.03%
13/11/2018,1.1487,1.1456,1.1557,1.1439,,0.29%
12/11/2018,1.1454,1.1439,1.1486,1.1397,,0.06%
09/11/2018,1.1447,1.1496,1.1511,1.1436,,-0.41%
08/11/2018,1.1494,1.1486,1.1506,1.144,,0.05%
07/11/2018,1.1488,1.1463,1.1495,1.1432,,0.22%
06/11/2018,1.1463,1.1433,1.1481,1.1417,,0.27%
05/11/2018,1.1432,1.1434,1.1457,1.1397,,0.34%
02/11/2018,1.1393,1.1406,1.1417,1.1362,,-0.11%
01/11/2018,1.1405,1.1287,1.1429,1.1275,,1.05%
31/10/2018,1.1286,1.1199,1.1311,1.1191,,0.77%
30/10/2018,1.12,1.1248,1.1264,1.1182,,-0.44%
29/10/2018,1.1249,1.1244,1.1277,1.1231,,-0.03%
26/10/2018,1.1252,1.1266,1.1287,1.124,,-0.13%
