Date,Price,Open,High,Low,Vol.,Change %
08/04/2019,1.3062,1.3036,1.3076,1.3021,133.52K,0.20%
05/04/2019,1.3036,1.3079,1.3124,1.2987,188.70K,-0.31%
04/04/2019,1.3077,1.3161,1.3192,1.306,191.07K,-0.62%
03/04/2019,1.3159,1.3127,1.3197,1.3121,203.85K,0.24%
02/04/2019,1.3127,1.3102,1.3151,1.3013,199.03K,0.21%
01/04/2019,1.3099,1.3038,1.3151,1.3009,154.18K,0.52%
29/03/2019,1.3031,1.3046,1.3137,1.2978,199.57K,-0.09%
28/03/2019,1.3043,1.3189,1.3217,1.3034,203.65K,-1.11%
27/03/2019,1.3189,1.3208,1.327,1.3166,185.82K,-0.14%
26/03/2019,1.3207,1.3194,1.3263,1.3158,176.11K,0.04%
25/03/2019,1.3202,1.3207,1.3247,1.316,140.04K,-0.05%
22/03/2019,1.3209,1.3109,1.3225,1.3081,196.05K,0.78%
21/03/2019,1.3107,1.3196,1.323,1.3004,192.31K,-0.67%
20/03/2019,1.3196,1.3269,1.3283,1.3145,189.58K,-0.54%
19/03/2019,1.3267,1.3256,1.3312,1.324,175.20K,0.09%
18/03/2019,1.3255,1.3288,1.3302,1.3183,136.74K,-0.26%
15/03/2019,1.3289,1.324,1.3302,1.3202,199.54K,0.38%
14/03/2019,1.3239,1.3341,1.3342,1.3207,218.80K,-0.73%
13/03/2019,1.3337,1.3076,1.3384,1.3059,191.52K,2.02%
12/03/2019,1.3073,1.3151,1.329,1.3004,214.38K,-0.59%
11/03/2019,1.3151,1.3018,1.3172,1.2948,174.17K,1.04%
08/03/2019,1.3015,1.3085,1.311,1.2989,171.63K,-0.53%
07/03/2019,1.3084,1.317,1.3187,1.3068,169.53K,-0.65%
06/03/2019,1.3169,1.318,1.3182,1.3124,186.22K,-0.05%
05/03/2019,1.3175,1.3177,1.3199,1.3097,175.89K,-0.08%
04/03/2019,1.3186,1.3238,1.3275,1.3166,160.52K,-0.12%
01/03/2019,1.3202,1.3262,1.3288,1.3171,196.05K,-0.44%
28/02/2019,1.3261,1.3309,1.3326,1.3253,196.63K,-0.35%
27/02/2019,1.3308,1.325,1.335,1.3233,193.56K,0.44%
26/02/2019,1.325,1.3089,1.329,1.3089,179.34K,1.18%
25/02/2019,1.3095,1.3074,1.3115,1.304,151.67K,0.33%
22/02/2019,1.3052,1.3045,1.3082,1.2967,162.35K,0.02%
21/02/2019,1.3049,1.3051,1.3096,1.3025,187.78K,0.00%
20/02/2019,1.3049,1.3062,1.311,1.3011,180.87K,-0.10%
19/02/2019,1.3062,1.2923,1.3075,1.2895,153.66K,1.09%
18/02/2019,1.2921,1.2891,1.2939,1.2891,136.78K,0.25%
15/02/2019,1.2889,1.2808,1.2899,1.2784,170.67K,0.61%
14/02/2019,1.2811,1.2845,1.2879,1.2772,160.35K,-0.26%
13/02/2019,1.2844,1.2893,1.296,1.2845,164.21K,-0.36%
12/02/2019,1.289,1.2859,1.291,1.2832,174.29K,0.32%
11/02/2019,1.2849,1.2949,1.2957,1.2845,133.53K,-0.76%
08/02/2019,1.2947,1.2954,1.2977,1.2921,158.50K,-0.05%
07/02/2019,1.2953,1.2933,1.2997,1.2853,169.36K,0.16%
06/02/2019,1.2932,1.295,1.2981,1.2925,187.91K,-0.08%
05/02/2019,1.2942,1.3039,1.3056,1.2924,173.42K,-0.71%
04/02/2019,1.3035,1.3085,1.3104,1.3029,135.28K,-0.37%
01/02/2019,1.3083,1.3107,1.3116,1.3043,166.69K,-0.13%
31/01/2019,1.31,1.3116,1.3161,1.3097,176.67K,-0.12%
30/01/2019,1.3116,1.3066,1.3147,1.3053,185.24K,0.38%
29/01/2019,1.3066,1.3168,1.32,1.3056,182.43K,-0.73%
28/01/2019,1.3162,1.3194,1.3214,1.3137,155.99K,-0.30%
25/01/2019,1.3201,1.3065,1.3218,1.3055,189.37K,1.05%
24/01/2019,1.3064,1.3068,1.3096,1.3011,177.31K,-0.02%
23/01/2019,1.3067,1.2959,1.3082,1.2943,180.17K,0.85%
22/01/2019,1.2957,1.289,1.2976,1.2855,179.60K,0.52%
21/01/2019,1.289,1.2883,1.2912,1.283,167.11K,0.13%
18/01/2019,1.2873,1.2986,1.2995,1.2856,174.26K,-0.85%
17/01/2019,1.2984,1.2886,1.3002,1.2832,188.37K,0.80%
16/01/2019,1.2881,1.286,1.2898,1.2824,,0.18%
15/01/2019,1.2858,1.2862,1.2917,1.267,,-0.04%
14/01/2019,1.2863,1.2848,1.2931,1.2817,,0.17%
11/01/2019,1.2841,1.2758,1.2867,1.2709,,0.74%
10/01/2019,1.2747,1.2789,1.2802,1.2728,,-0.32%
09/01/2019,1.2788,1.2717,1.2806,1.2711,,0.56%
08/01/2019,1.2717,1.278,1.2798,1.2706,10.74K,-0.48%
07/01/2019,1.2778,1.273,1.2788,1.2717,10.31K,0.41%
04/01/2019,1.2726,1.2629,1.2745,1.2615,0.01K,0.75%
03/01/2019,1.2631,1.2605,1.2649,1.2438,11.72K,0.19%
02/01/2019,1.2607,1.2742,1.2776,1.2581,9.81K,-1.13%
01/01/2019,1.2751,1.2761,1.2765,1.2725,6.79K,-0.05%
31/12/2018,1.2757,1.2682,1.2816,1.268,,0.41%
28/12/2018,1.2705,1.2644,1.2711,1.2634,,0.50%
27/12/2018,1.2642,1.2632,1.2676,1.2615,,0.08%
26/12/2018,1.2632,1.2674,1.2721,1.263,,-0.41%
25/12/2018,1.2684,1.2724,1.2728,1.2665,,-0.30%
24/12/2018,1.2722,1.2652,1.2744,1.2629,,0.73%
21/12/2018,1.263,1.2658,1.2699,1.2617,,-0.20%
20/12/2018,1.2655,1.261,1.2708,1.2608,,0.38%
19/12/2018,1.2607,1.264,1.268,1.2607,,-0.29%
18/12/2018,1.2644,1.2624,1.2707,1.2609,,0.15%
17/12/2018,1.2625,1.2591,1.2648,1.2569,,0.33%
14/12/2018,1.2583,1.2656,1.2676,1.2529,,-0.57%
13/12/2018,1.2655,1.2635,1.2687,1.2609,,0.21%
12/12/2018,1.2629,1.2488,1.2673,1.2477,,1.16%
11/12/2018,1.2484,1.2564,1.2639,1.2479,,-0.60%
10/12/2018,1.2559,1.2729,1.276,1.2507,,-1.31%
07/12/2018,1.2726,1.2785,1.2813,1.271,,-0.44%
06/12/2018,1.2782,1.2733,1.2813,1.2699,,0.40%
05/12/2018,1.2731,1.2724,1.2799,1.2671,,0.10%
04/12/2018,1.2718,1.2724,1.2841,1.2659,,-0.03%
03/12/2018,1.2722,1.2768,1.2826,1.2699,,-0.23%
30/11/2018,1.2751,1.2792,1.281,1.2735,,-0.32%
29/11/2018,1.2792,1.2824,1.2852,1.2754,,-0.25%
28/11/2018,1.2824,1.2746,1.2849,1.2731,,0.60%
27/11/2018,1.2747,1.2835,1.2836,1.2724,,-0.67%
26/11/2018,1.2833,1.2853,1.2865,1.2795,,0.16%
23/11/2018,1.2812,1.2879,1.2884,1.2799,,-0.50%
22/11/2018,1.2876,1.2776,1.2929,1.2768,,0.79%
21/11/2018,1.2775,1.2788,1.2821,1.2763,,-0.09%
20/11/2018,1.2786,1.2852,1.2884,1.2775,,-0.49%
19/11/2018,1.2849,1.2829,1.2885,1.2795,,0.09%
16/11/2018,1.2837,1.2773,1.2879,1.2759,,0.49%
15/11/2018,1.2774,1.2991,1.3031,1.2724,,-1.69%
14/11/2018,1.2994,1.2979,1.3073,1.2885,,0.18%
13/11/2018,1.2971,1.2849,1.3048,1.284,,0.97%
12/11/2018,1.2847,1.296,1.2967,1.2826,,-0.98%
09/11/2018,1.2974,1.3062,1.3082,1.2958,,-0.67%
08/11/2018,1.3061,1.3127,1.3151,1.3045,,-0.48%
07/11/2018,1.3124,1.3102,1.3176,1.3073,,0.21%
06/11/2018,1.3097,1.3041,1.3109,1.302,,0.44%
05/11/2018,1.304,1.3025,1.3064,1.2965,,0.54%
02/11/2018,1.297,1.3011,1.3042,1.295,,-0.30%
01/11/2018,1.3009,1.2769,1.3037,1.276,,1.91%
31/10/2018,1.2765,1.2707,1.2832,1.2698,,0.48%
30/10/2018,1.2704,1.2793,1.2814,1.2695,,-0.68%
29/10/2018,1.2791,1.2828,1.2854,1.2791,,-0.31%
26/10/2018,1.2831,1.2817,1.2843,1.2776,,0.12%
25/10/2018,1.2815,1.2883,1.2921,1.2797,,-0.50%
24/10/2018,1.288,1.2983,1.2995,1.2866,,-0.79%
23/10/2018,1.2982,1.2966,1.3045,1.2937,,0.16%
22/10/2018,1.2961,1.3068,1.3092,1.2955,,-0.83%
19/10/2018,1.307,1.3018,1.3105,1.301,,0.40%
18/10/2018,1.3018,1.3113,1.3132,1.3015,,-0.74%
17/10/2018,1.3115,1.3183,1.3194,1.31,,-0.55%
16/10/2018,1.3187,1.3153,1.3237,1.3141,,0.26%
15/10/2018,1.3153,1.314,1.3183,1.3079,,-0.02%
12/10/2018,1.3155,1.3225,1.3259,1.3149,,-0.61%
11/10/2018,1.3236,1.3196,1.3249,1.3182,,0.30%
10/10/2018,1.3196,1.3143,1.3217,1.3134,,0.40%
09/10/2018,1.3144,1.3091,1.3152,1.3032,,0.41%
08/10/2018,1.309,1.3108,1.3136,1.3028,,-0.25%
05/10/2018,1.3123,1.3019,1.3126,1.3002,,0.79%
04/10/2018,1.302,1.2941,1.3042,1.2921,,0.62%
03/10/2018,1.294,1.2979,1.3024,1.2924,,-0.30%
02/10/2018,1.2979,1.3044,1.3057,1.294,,-0.49%
01/10/2018,1.3043,1.3031,1.3112,1.3011,,0.09%
28/09/2018,1.3031,1.3081,1.3093,1.3,,-0.39%
27/09/2018,1.3082,1.3168,1.3188,1.3075,,-0.67%
26/09/2018,1.317,1.3185,1.3219,1.3138,,-0.10%
25/09/2018,1.3183,1.3121,1.3195,1.3094,,0.47%
24/09/2018,1.3121,1.3069,1.3169,1.3055,,0.34%
